Id,SepalLengthCm,SepalWidthCm,PetalLengthCm,PetalWidthCm,Species
1,5,3.5,1.4,0.2,Iris-setosa
2,5,3,1.4,0.2,Iris-setosa
3,5,3.2,1.3,0.2,Iris-setosa
4,5,3.1,1.5,0.2,Iris-setosa
5,5,3.6,1.4,0.2,Iris-setosa
6,5,3.9,1.7,0.4,Iris-setosa
7,5,3.4,1.4,0.3,Iris-setosa
8,5,3.4,1.5,0.2,Iris-setosa
9,4,2.9,1.4,0.2,Iris-setosa
10,5,3.1,1.5,0.1,Iris-setosa
11,5,3.7,1.5,0.2,Iris-setosa
12,5,3.4,1.6,0.2,Iris-setosa
13,5,3,1.4,0.1,Iris-setosa
14,4,3,1.1,0.1,Iris-setosa
15,6,4,1.2,0.2,Iris-setosa
16,6,4.4,1.5,0.4,Iris-setosa
17,5,3.9,1.3,0.4,Iris-setosa
18,5,3.5,1.4,0.3,Iris-setosa
19,6,3.8,1.7,0.3,Iris-setosa
20,5,3.8,1.5,0.3,Iris-setosa
21,5,3.4,1.7,0.2,Iris-setosa
22,5,3.7,1.5,0.4,Iris-setosa
23,5,3.6,1,0.2,Iris-setosa
24,5,3.3,1.7,0.5,Iris-setosa
25,5,3.4,1.9,0.2,Iris-setosa
26,5,3,1.6,0.2,Iris-setosa
27,5,3.4,1.6,0.4,Iris-setosa
28,5,3.5,1.5,0.2,Iris-setosa
29,5,3.4,1.4,0.2,Iris-setosa
30,5,3.2,1.6,0.2,Iris-setosa
31,5,3.1,1.6,0.2,Iris-setosa
32,5,3.4,1.5,0.4,Iris-setosa
33,5,4.1,1.5,0.1,Iris-setosa
34,6,4.2,1.4,0.2,Iris-setosa
35,5,3.1,1.5,0.1,Iris-setosa
36,5,3.2,1.2,0.2,Iris-setosa
37,6,3.5,1.3,0.2,Iris-setosa
38,5,3.1,1.5,0.1,Iris-setosa
39,4,3,1.3,0.2,Iris-setosa
40,5,3.4,1.5,0.2,Iris-setosa
41,5,3.5,1.3,0.3,Iris-setosa
42,5,2.3,1.3,0.3,Iris-setosa
43,4,3.2,1.3,0.2,Iris-setosa
44,5,3.5,1.6,0.6,Iris-setosa
45,5,3.8,1.9,0.4,Iris-setosa
46,5,3,1.4,0.3,Iris-setosa
47,5,3.8,1.6,0.2,Iris-setosa
48,5,3.2,1.4,0.2,Iris-setosa
49,5,3.7,1.5,0.2,Iris-setosa
50,5,3.3,1.4,0.2,Iris-setosa
51,7,3.2,4.7,1.4,Iris-versicolor
52,6,3.2,4.5,1.5,Iris-versicolor
53,7,3.1,4.9,1.5,Iris-versicolor
54,6,2.3,4,1.3,Iris-versicolor
55,7,2.8,4.6,1.5,Iris-versicolor
56,6,2.8,4.5,1.3,Iris-versicolor
57,6,3.3,4.7,1.6,Iris-versicolor
58,5,2.4,3.3,1,Iris-versicolor
59,7,2.9,4.6,1.3,Iris-versicolor
60,5,2.7,3.9,1.4,Iris-versicolor
61,5,2,3.5,1,Iris-versicolor
62,6,3,4.2,1.5,Iris-versicolor
63,6,2.2,4,1,Iris-versicolor
64,6,2.9,4.7,1.4,Iris-versicolor
65,6,2.9,3.6,1.3,Iris-versicolor
66,7,3.1,4.4,1.4,Iris-versicolor
67,6,3,4.5,1.5,Iris-versicolor
68,6,2.7,4.1,1,Iris-versicolor
69,6,2.2,4.5,1.5,Iris-versicolor
70,6,2.5,3.9,1.1,Iris-versicolor
71,6,3.2,4.8,1.8,Iris-versicolor
72,6,2.8,4,1.3,Iris-versicolor
73,6,2.5,4.9,1.5,Iris-versicolor
74,6,2.8,4.7,1.2,Iris-versicolor
75,6,2.9,4.3,1.3,Iris-versicolor
76,7,3,4.4,1.4,Iris-versicolor
77,7,2.8,4.8,1.4,Iris-versicolor
78,7,3,5,1.7,Iris-versicolor
79,6,2.9,4.5,1.5,Iris-versicolor
80,6,2.6,3.5,1,Iris-versicolor
81,6,2.4,3.8,1.1,Iris-versicolor
82,6,2.4,3.7,1,Iris-versicolor
83,6,2.7,3.9,1.2,Iris-versicolor
84,6,2.7,5.1,1.6,Iris-versicolor
85,5,3,4.5,1.5,Iris-versicolor
86,6,3.4,4.5,1.6,Iris-versicolor
87,7,3.1,4.7,1.5,Iris-versicolor
88,6,2.3,4.4,1.3,Iris-versicolor
89,6,3,4.1,1.3,Iris-versicolor
90,6,2.5,4,1.3,Iris-versicolor
91,6,2.6,4.4,1.2,Iris-versicolor
92,6,3,4.6,1.4,Iris-versicolor
93,6,2.6,4,1.2,Iris-versicolor
94,5,2.3,3.3,1,Iris-versicolor
95,6,2.7,4.2,1.3,Iris-versicolor
96,6,3,4.2,1.2,Iris-versicolor
97,6,2.9,4.2,1.3,Iris-versicolor
98,6,2.9,4.3,1.3,Iris-versicolor
99,5,2.5,3,1.1,Iris-versicolor
100,6,2.8,4.1,1.3,Iris-versicolor
101,6,3.3,6,2.5,Iris-virginica
102,6,2.7,5.1,1.9,Iris-virginica
103,7,3,5.9,2.1,Iris-virginica
104,6,2.9,5.6,1.8,Iris-virginica
105,7,3,5.8,2.2,Iris-virginica
106,8,3,6.6,2.1,Iris-virginica
107,5,2.5,4.5,1.7,Iris-virginica
108,7,2.9,6.3,1.8,Iris-virginica
109,7,2.5,5.8,1.8,Iris-virginica
110,7,3.6,6.1,2.5,Iris-virginica
111,7,3.2,5.1,2,Iris-virginica
112,6,2.7,5.3,1.9,Iris-virginica
113,7,3,5.5,2.1,Iris-virginica
114,6,2.5,5,2,Iris-virginica
115,6,2.8,5.1,2.4,Iris-virginica
116,6,3.2,5.3,2.3,Iris-virginica
117,7,3,5.5,1.8,Iris-virginica
118,8,3.8,6.7,2.2,Iris-virginica
119,8,2.6,6.9,2.3,Iris-virginica
120,6,2.2,5,1.5,Iris-virginica
121,7,3.2,5.7,2.3,Iris-virginica
122,6,2.8,4.9,2,Iris-virginica
123,8,2.8,6.7,2,Iris-virginica
124,6,2.7,4.9,1.8,Iris-virginica
125,7,3.3,5.7,2.1,Iris-virginica
126,7,3.2,6,1.8,Iris-virginica
127,6,2.8,4.8,1.8,Iris-virginica
128,6,3,4.9,1.8,Iris-virginica
129,6,2.8,5.6,2.1,Iris-virginica
130,7,3,5.8,1.6,Iris-virginica
131,7,2.8,6.1,1.9,Iris-virginica
132,8,3.8,6.4,2,Iris-virginica
133,6,2.8,5.6,2.2,Iris-virginica
134,6,2.8,5.1,1.5,Iris-virginica
135,6,2.6,5.6,1.4,Iris-virginica
136,8,3,6.1,2.3,Iris-virginica
137,6,3.4,5.6,2.4,Iris-virginica
138,6,3.1,5.5,1.8,Iris-virginica
139,6,3,4.8,1.8,Iris-virginica
140,7,3.1,5.4,2.1,Iris-virginica
141,7,3.1,5.6,2.4,Iris-virginica
142,7,3.1,5.1,2.3,Iris-virginica
143,6,2.7,5.1,1.9,Iris-virginica
144,7,3.2,5.9,2.3,Iris-virginica
145,7,3.3,5.7,2.5,Iris-virginica
146,7,3,5.2,2.3,Iris-virginica
147,6,2.5,5,1.9,Iris-virginica
148,7,3,5.2,2,Iris-virginica
149,6,3.4,5.4,2.3,Iris-virginica
150,6,3,5.1,1.8,Iris-virginica
,,,,,
